City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Aklavik,CA,68.2191,-135.0107,-15.77,94,100,15.26,overcast clouds
80,Sokolo,ML,14.7328,-6.1219,88.32,6,0,8.39,clear sky
81,Banda Aceh,ID,5.5577,95.3222,79.5,82,100,5.61,moderate rain
82,Victoria,HK,22.2855,114.1577,62.65,84,100,1.01,overcast clouds
83,Vaini,TO,-21.2,-175.2,73.56,94,100,20.71,moderate rain
84,Roebourne,AU,-20.7833,117.1333,84.63,79,6,14.38,clear sky
85,East London,ZA,-33.0153,27.9116,77.94,78,20,20.71,few clouds
86,Inirida,CO,3.8653,-67.9239,80.26,74,96,2.93,overcast clouds
87,Port Lincoln,AU,-34.7333,135.8667,71.08,64,0,15.52,clear sky
88,Roald,NO,62.5833,6.1333,38.16,93,75,10.36,broken clouds
89,Mandalgovi,MN,45.7625,106.2708,5.76,71,0,5.59,clear sky
90,Zhigansk,RU,66.7697,123.3711,-29.99,100,99,6.26,overcast clouds
91,Chumikan,RU,54.7183,135.315,-5.84,86,97,8.63,overcast clouds
92,Odweyne,SO,9.4092,45.064,80.35,34,84,15.12,broken clouds
93,High Level,CA,58.5169,-117.136,-2.09,84,100,4.61,snow
94,Sao Filipe,CV,14.8961,-24.4956,74.57,68,0,7.45,clear sky
95,Valentin Gomez Farias,MX,28.2167,-106.5833,36.01,56,0,4.79,clear sky
96,Thompson,CA,55.7435,-97.8558,-36.24,67,20,0.0,few clouds
97,Jinchang,CN,38.4953,102.1739,15.33,94,100,3.74,light snow
98,Ponta Do Sol,PT,32.6667,-17.1,68.13,53,10,11.77,clear sky
99,Cooma,AU,-36.2333,149.1333,47.43,96,16,3.0,few clouds
100,Beringovskiy,RU,63.05,179.3167,-15.7,97,17,10.07,few clouds
101,Bethel,US,41.3712,-73.414,21.81,63,0,5.75,clear sky
102,Saskylakh,RU,71.9167,114.0833,-26.25,100,98,1.57,overcast clouds
103,Kaitangata,NZ,-46.2817,169.8464,47.93,75,0,1.28,clear sky
104,Yellowknife,CA,62.456,-114.3525,-12.59,83,40,13.8,scattered clouds
105,Butaritari,KI,3.0707,172.7902,81.03,78,67,14.97,light rain
106,Nikolskoye,RU,59.7035,30.7861,33.71,88,100,11.14,overcast clouds
107,Panaba,MX,21.2833,-88.2667,71.78,81,5,8.93,clear sky
108,Cockburn Town,TC,21.4612,-71.1419,78.76,47,40,12.66,scattered clouds
109,Poum,NC,-20.2333,164.0167,79.07,84,100,6.22,moderate rain
110,Vila Do Maio,CV,15.1333,-23.2167,81.39,78,0,13.62,clear sky
111,Makakilo City,US,21.3469,-158.0858,71.92,75,0,5.75,clear sky
112,Vilyuysk,RU,63.7553,121.6247,-18.9,99,82,5.53,broken clouds
113,Clinton,US,42.587,-82.9199,20.41,82,10,1.99,clear sky
114,Linxia,CN,35.6003,103.2064,7.81,89,59,3.83,broken clouds
115,Kodiak,US,57.79,-152.4072,38.71,70,0,10.36,clear sky
116,Anadyr,RU,64.75,177.4833,-16.1,76,0,8.95,clear sky
