City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,Pucallpa,PE,80.64,broken clouds,-8.3791,-74.5539,Hospedaje Komby
228,Orodara,BF,89.98,clear sky,10.9492,-4.9342,Bkf Orodara
238,Merauke,ID,81.93,moderate rain,-8.4667,140.3333,
239,Plettenberg Bay,ZA,80.19,broken clouds,-34.0527,23.3716,Thanda Vista B&B
240,Tefe,BR,82.51,scattered clouds,-3.3542,-64.7114,Aracati Hotel
241,Kudahuvadhoo,MV,82.02,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
242,Souillac,MU,82.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
250,Presidencia Roque Saenz Pena,AR,78.08,clear sky,-26.7852,-60.4388,Hotel Gualok
252,Dhidhdhoo,MV,81.03,overcast clouds,6.8833,73.1,Dhidhoo beach
255,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
256,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
259,Matara,LK,77.7,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
260,Dingle,PH,76.1,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
263,Mount Isa,AU,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
264,Cidreira,BR,77.49,few clouds,-30.1811,-50.2056,Hotel Castelo
265,Pandan,PH,77.45,scattered clouds,14.0453,124.1694,Bonifacio Lodge
270,Labuhan,ID,79.14,overcast clouds,-6.8844,112.2051,DoubleFAG
274,Trairi,BR,86.07,broken clouds,-3.2778,-39.2689,janelas do mar
275,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
276,Nhulunbuy,AU,75.81,heavy intensity rain,-12.2333,136.7667,East Arnhem Real Estate
277,Kulhudhuffushi,MV,81.14,overcast clouds,6.6221,73.07,Haajy Guest House 1
280,Bilma,NE,77.99,clear sky,18.6853,12.9164,Expeditions Ténére voyages
283,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
285,Aquiraz,BR,86.09,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
286,Manicore,BR,85.78,broken clouds,-5.8092,-61.3003,Hotel Durval
288,Katobu,ID,76.87,scattered clouds,-4.9408,122.5276,La Ode Husein
